name,lat,lng
机场,22.629272,113.820643
机场北,22.6573,113.804835
福永,22.679392,113.812576
桥头,22.693717,113.817459
塘尾,22.707808,113.824469
马安山,22.722572,113.823606
沙井,22.736069,113.830973
后亭,22.758302,113.833406
松岗,22.777998,113.836299
碧头,22.790312,113.826539
机场北,22.6573,113.804835
国展南,22.69039,113.784952
国展地铁站-D口,22.700617,113.784365
国展北,22.709394,113.783402
会展城,22.718448,113.776218
清湖,22.669994,114.0431
清龙,22.671018,114.049126
清湖小学,22.677891,114.049637
梅龙北,22.681718,114.054802
碧澜,22.68918,114.055926
文澜,22.692166,114.05607
大和,22.695592,114.056356
世纪广场,22.700877,114.056133
锦鲤,22.707104,114.056136
河西,22.706688,114.063365
观城,22.707091,114.068804
大布头,22.71022,114.072284
河东,22.575024,113.886818
石角头站,22.717188,114.06342
新澜,22.720441,114.061883
大和,22.695592,114.056356
东庵站,22.695513,114.060372
高新区西,22.694732,114.065575
高新区站,22.694198,114.070697
高新区东,22.695181,114.07761
下围站,22.696661,114.084186
