,车站,lat,lng,geometry
212,梦海,22.52524,113.905347,POINT (113.905347 22.52524)
213,怡海,22.521524,113.909349,POINT (113.909349 22.521524)
214,荔林,22.517793,113.919798,POINT (113.919798 22.517793)
215,南油西,22.514926,113.924927,POINT (113.924927 22.514926)
216,南油,22.516242,113.932512,POINT (113.932512 22.516242)
217,南山书城,22.524104,113.934721,POINT (113.934721 22.524104)
218,深大南,22.531501,113.94211,POINT (113.94211 22.531501)
219,粤海门,22.538384,113.952227,POINT (113.952227 22.538384)
220,高新南,22.538486,113.958433,POINT (113.958433 22.538486)
221,红树湾南,22.529139,113.977916,POINT (113.977916 22.529139)
222,深湾,22.529393,113.985122,POINT (113.985122 22.529393)
223,深圳湾公园,22.528017,113.999711,POINT (113.999711 22.528017)
224,下沙,22.535251,114.030928,POINT (114.030928 22.535251)
225,车公庙,22.541996,114.03365,POINT (114.03365 22.541996)
226,香梅,22.551296,114.046121,POINT (114.046121 22.551296)
227,景田,22.559418,114.05003,POINT (114.05003 22.559418)
228,梅景,22.56643,114.044492,POINT (114.044492 22.56643)
229,下梅林,22.571368,114.048023,POINT (114.048023 22.571368)
230,梅村,22.574203,114.059035,POINT (114.059035 22.574203)
231,上梅林,22.575174,114.066543,POINT (114.066543 22.575174)
232,孖岭,22.573885,114.074247,POINT (114.074247 22.573885)
233,银湖,22.574309,114.096286,POINT (114.096286 22.574309)
234,泥岗,22.573718,114.104372,POINT (114.104372 22.573718)
235,红岭北,22.568287,114.110793,POINT (114.110793 22.568287)
236,园岭,22.562236,114.110895,POINT (114.110895 22.562236)
237,红岭,22.555001,114.110308,POINT (114.110308 22.555001)
238,红岭南,22.546031,114.111215,POINT (114.111215 22.546031)
239,鹿丹村,22.541664,114.115457,POINT (114.115457 22.541664)
240,人民南,22.541763,114.124486,POINT (114.124486 22.541763)
241,向西村,22.546172,114.132273,POINT (114.132273 22.546172)
242,文锦,22.548714,114.137445,POINT (114.137445 22.548714)
243,福田口岸,22.521671,114.07583,POINT (114.07583 22.521671)
244,福民,22.529772,114.072814,POINT (114.072814 22.529772)
245,岗厦,22.540518,114.072207,POINT (114.072207 22.540518)
246,岗厦北,22.5468,114.075212,POINT (114.075212 22.5468)
